,side,quantity,price.amount,pv_level,pv_level_cum
116,ask,101,115.61,11676.61,6044124.379999999
117,ask,100,115.67,11567.0,6055691.379999999
118,ask,30,115.68,3470.4,6059161.779999999
119,ask,7,115.69,809.8299999999999,6059971.609999999
120,ask,104,115.7,12032.800000000001,6072004.409999999
121,ask,10,115.71,1157.1,6073161.509999999
122,ask,31,115.74,3587.94,6076749.449999999
123,ask,20,115.76,2315.2000000000003,6079064.649999999
124,ask,1,115.77,115.77,6079180.419999999
125,ask,145,115.8,16791.0,6095971.419999999
126,ask,90,115.85,10426.5,6106397.919999999
127,ask,1,115.87,115.87,6106513.789999999
128,ask,442,115.88,51218.96,6157732.749999999
129,ask,160,115.89,18542.4,6176275.149999999
130,ask,174,115.9,20166.600000000002,6196441.749999999
131,ask,5,115.94,579.7,6197021.449999999
132,ask,364,115.95,42205.8,6239227.249999999
133,ask,1300,115.96,150748.0,6389975.249999999
134,ask,55,115.98,6378.900000000001,6396354.149999999
135,ask,288,115.99,33405.119999999995,6429759.27
136,ask,4888,116.0,567008.0,6996767.27
137,ask,200,116.02,23204.0,7019971.27
138,ask,3,116.06,348.18,7020319.449999999
139,ask,3,116.07,348.21,7020667.659999999
140,ask,2,116.08,232.16,7020899.819999999
141,ask,305,116.1,35410.5,7056310.319999999
142,ask,1000,116.16,116160.0,7172470.319999999
143,ask,30,116.17,3485.1,7175955.419999999
144,ask,2,116.19,232.38,7176187.799999999
145,ask,47,116.2,5461.400000000001,7181649.199999999
146,ask,10,116.22,1162.2,7182811.399999999
147,ask,1,116.24,116.24,7182927.64
148,ask,435,116.25,50568.75,7233496.39
149,ask,151,116.26,17555.260000000002,7251051.649999999
150,ask,500,116.3,58150.0,7309201.649999999
151,ask,5,116.33,581.65,7309783.3
152,ask,5,116.38,581.9,7310365.2
153,ask,50,116.4,5820.0,7316185.2
154,ask,272,116.45,31674.4,7347859.600000001
155,ask,105,116.48,12230.4,7360090.000000001
156,ask,2903,116.5,338199.5,7698289.500000001
157,ask,10,116.54,1165.4,7699454.900000001
158,ask,62,116.6,7229.2,7706684.1000000015
159,ask,1,116.61,116.61,7706800.710000002
160,ask,5,116.65,583.25,7707383.960000002
161,ask,120,116.66,13999.199999999999,7721383.160000002
162,ask,100,116.67,11667.0,7733050.160000002
163,ask,25,116.69,2917.25,7735967.410000002
164,ask,47,116.7,5484.900000000001,7741452.310000002
165,ask,20,116.72,2334.4,7743786.710000003
166,ask,38,116.74,4436.12,7748222.830000003
167,ask,1,116.75,116.75,7748339.580000003
168,ask,31,116.78,3620.18,7751959.760000003
169,ask,363,116.8,42398.4,7794358.160000003
170,ask,3,116.81,350.43,7794708.590000003
171,ask,25,116.82,2920.5,7797629.090000003
172,ask,20,116.85,2337.0,7799966.090000003
173,ask,862,116.88,100750.56,7900716.650000002
174,ask,52,116.89,6078.28,7906794.9300000025
175,ask,100,116.9,11690.0,7918484.9300000025
176,ask,119,116.94,13915.86,7932400.790000003
177,ask,70,116.95,8186.5,7940587.290000003
178,ask,25,116.96,2924.0,7943511.290000003
179,ask,4,116.98,467.92,7943979.210000003
180,ask,304,116.99,35564.96,7979544.170000003
181,ask,6748,117.0,789516.0,8769060.170000002
182,ask,21,117.1,2459.1,8771519.270000001
183,ask,100,117.11,11711.0,8783230.270000001
184,ask,1,117.15,117.15,8783347.420000002
185,ask,10,117.16,1171.6,8784519.020000001
186,ask,2,117.17,234.34,8784753.360000001
187,ask,234,117.2,27424.8,8812178.160000002
188,ask,10,117.25,1172.5,8813350.660000002
189,ask,405,117.3,47506.5,8860857.160000002
190,ask,80,117.32,9385.599999999999,8870242.760000002
191,ask,115,117.35,13495.25,8883738.010000002
192,ask,500,117.37,58685.0,8942423.010000002
193,ask,60,117.38,7042.799999999999,8949465.810000002
194,ask,1047,117.4,122917.8,9072383.610000003
195,ask,90,117.44,10569.6,9082953.210000003
196,ask,1,117.45,117.45,9083070.660000002
197,ask,63,117.5,7402.5,9090473.160000002
198,ask,45,117.6,5292.0,9095765.160000002
199,ask,4,117.68,470.72,9096235.880000003
200,ask,11,117.77,1295.47,9097531.350000003
201,ask,160,117.8,18848.0,9116379.350000003
202,ask,100,117.82,11782.0,9128161.350000003
203,ask,1,117.85,117.85,9128279.200000003
204,ask,20,117.86,2357.2,9130636.400000002
205,ask,1227,117.88,144638.75999999998,9275275.160000002
206,ask,87,117.9,10257.300000000001,9285532.460000003
207,ask,1,117.91,117.91,9285650.370000003
208,ask,100,117.94,11794.0,9297444.370000003
209,ask,30,117.95,3538.5,9300982.870000003
210,ask,300,117.98,35394.0,9336376.870000003
211,ask,56,117.99,6607.44,9342984.310000002
212,ask,5637,118.0,665166.0,10008150.310000002
213,ask,60,118.01,7080.6,10015230.910000002
214,ask,50,118.03,5901.5,10021132.410000002
215,ask,100,118.1,11810.0,10032942.410000002
216,ask,10,118.11,1181.1,10034123.510000002
217,ask,10,118.17,1181.7,10035305.21
218,ask,38,118.18,4490.84,10039796.05
219,ask,79,118.26,9342.54,10049138.59
220,ask,40,118.3,4732.0,10053870.59
221,ask,75,118.45,8883.75,10062754.34
222,ask,513,118.5,60790.5,10123544.84
223,ask,151,118.55,17901.05,10141445.89
224,ask,30,118.57,3557.1,10145002.99
